date,store_number,store_name,city,county,sales
2022-01-23,2528,Hy-Vee Food Store #3 / Des Moines,Des Moines,POLK,25699.65
2022-01-30,2528,Hy-Vee Food Store #3 / Des Moines,Des Moines,POLK,14395.29
2022-02-06,2528,Hy-Vee Food Store #3 / Des Moines,Des Moines,POLK,26496.04
2022-01-09,2527,Hy-Vee Food Store #5 / Des Moines,Des Moines,POLK,12513.37
2022-01-16,2527,Hy-Vee Food Store #5 / Des Moines,Des Moines,POLK,14432.81
2022-01-23,2527,Hy-Vee Food Store #5 / Des Moines,Des Moines,POLK,22430.08
2022-01-30,2527,Hy-Vee Food Store #5 / Des Moines,Des Moines,POLK,25929.93
2022-02-06,2527,Hy-Vee Food Store #5 / Des Moines,Des Moines,POLK,21522.26
2022-01-09,2636,Hy-Vee Wine and Spirits / Hubbell,Des Moines,POLK,9231.48
2022-01-16,2636,Hy-Vee Wine and Spirits / Hubbell,Des Moines,POLK,8024.5
2022-01-23,2636,Hy-Vee Wine and Spirits / Hubbell,Des Moines,POLK,16267.69
2022-01-30,2636,Hy-Vee Wine and Spirits / Hubbell,Des Moines,POLK,10118.37
2022-02-06,2636,Hy-Vee Wine and Spirits / Hubbell,Des Moines,POLK,9582.6
2022-01-09,2626,Hy-Vee Drugstore / University / DSM,Des Moines,POLK,14449.0
2022-01-16,2626,Hy-Vee Drugstore / University / DSM,Des Moines,POLK,18817.63
2022-01-23,2626,Hy-Vee Drugstore / University / DSM,Des Moines,POLK,26317.14
2022-01-30,2626,Hy-Vee Drugstore / University / DSM,Des Moines,POLK,20172.57
2022-02-06,2626,Hy-Vee Drugstore / University / DSM,Des Moines,POLK,20585.98
2022-01-09,2644,Hy-Vee Fort Dodge Wine and Spirits,Fort Dodge,WEBSTER,27204.66
2022-01-16,2644,Hy-Vee Fort Dodge Wine and Spirits,Fort Dodge,WEBSTER,27040.7
2022-01-23,2644,Hy-Vee Fort Dodge Wine and Spirits,Fort Dodge,WEBSTER,32037.7
